Variable_Name,Optimal_Value
Solar_Capacity,30.24799808601527
Battery_Capacity,79.06681159304868
Generator_Capacity,5.6700985604281255
Solar_Production[1],9.999844335145574e-9
Solar_Production[2],9.999844335145554e-9
Solar_Production[3],9.999844335145541e-9
Solar_Production[4],9.999844335145556e-9
Solar_Production[5],9.999844335145554e-9
Solar_Production[6],9.999844335145564e-9
Solar_Production[7],9.999844335145602e-9
Solar_Production[8],9.99984433514564e-9
Solar_Production[9],9.999844335145801e-9
Solar_Production[10],1.8756502104274453
Solar_Production[11],5.667516322507771
Solar_Production[12],9.776429548845009
Solar_Production[13],13.62719934198212
Solar_Production[14],16.672065097801948
Solar_Production[15],18.487295768996667
Solar_Production[16],18.843557537397697
Solar_Production[17],17.70209681909724
Solar_Production[18],15.216830703595956
Solar_Production[19],11.724689009999521
Solar_Production[20],7.696848736730915
Solar_Production[21],3.692264394806635
Solar_Production[22],0.26332132576184303
Solar_Production[23],9.999860574309463e-9
Solar_Production[24],9.999860574309705e-9
Solar_Production[25],9.999845649907276e-9
Solar_Production[26],9.999845649907533e-9
Solar_Production[27],9.999845649907768e-9
Battery_Charge[1],-9.99856632567515e-9
Battery_Charge[2],-9.998566325671965e-9
Battery_Charge[3],-9.99856632566907e-9
Battery_Charge[4],-9.998566325668921e-9
Battery_Charge[5],-9.998566325666782e-9
Battery_Charge[6],-9.998566325664316e-9
Battery_Charge[7],-9.998566325662468e-9
Battery_Charge[8],-9.998566325657683e-9
Battery_Charge[9],-9.998566325657652e-9
Battery_Charge[10],-9.998566325662812e-9
Battery_Charge[11],-9.998566325719133e-9
Battery_Charge[12],3.382065006846866
Battery_Charge[13],5.843768179983979
Battery_Charge[14],8.389374037803805
Battery_Charge[15],10.684006909998525
Battery_Charge[16],11.595466096399557
Battery_Charge[17],10.971695146099098
Battery_Charge[18],7.393380484597814
Battery_Charge[19],-9.99725148677549e-9
Battery_Charge[20],-9.998566325683063e-9
Battery_Charge[21],-9.998566325652776e-9
Battery_Charge[22],-9.998566325640276e-9
Battery_Charge[23],-9.998566325649028e-9
Battery_Charge[24],-9.998566325655931e-9
Battery_Charge[25],2.2314269724114166
Battery_Charge[26],1.9465125024114172
Battery_Charge[27],1.6420439934114166
Battery_Discharge[1],1.0773113094645679
Battery_Discharge[2],1.2452591102574322
Battery_Discharge[3],1.451167568578224
Battery_Discharge[4],1.4708470355326873
Battery_Discharge[5],1.6814690282661364
Battery_Discharge[6],2.023128405521302
Battery_Discharge[7],2.417175334991194
Battery_Discharge[8],4.427791276264491
Battery_Discharge[9],5.1004223646795195
Battery_Discharge[10],3.486298704177994
Battery_Discharge[11],0.5875965816658854
Battery_Discharge[12],-9.998566325681787e-9
Battery_Discharge[13],-9.998566325668898e-9
Battery_Discharge[14],-9.998566325662433e-9
Battery_Discharge[15],-9.998566325658107e-9
Battery_Discharge[16],-9.998566325656292e-9
Battery_Discharge[17],-9.998566325657596e-9
Battery_Discharge[18],-9.998566325664661e-9
Battery_Discharge[19],-9.99728436324435e-9
Battery_Discharge[20],0.7729912028435293
Battery_Discharge[21],7.966202574767809
Battery_Discharge[22],14.087753093812601
Battery_Discharge[23],11.634621119574588
Battery_Discharge[24],4.649704559574582
Battery_Discharge[25],-9.998566325662076e-9
Battery_Discharge[26],-9.998566325663728e-9
Battery_Discharge[27],-9.99856632566611e-9
State_of_Charge[1],38.509960043034354
State_of_Charge[2],37.32696387879116
State_of_Charge[3],35.948354679143215
State_of_Charge[4],34.55104998588852
State_of_Charge[5],32.95365439953705
State_of_Charge[6],31.031682404793173
State_of_Charge[7],28.735365827052902
State_of_Charge[8],24.528964105103
State_of_Charge[9],19.683562849158818
State_of_Charge[10],16.371579070691084
State_of_Charge[11],15.813362308609856
State_of_Charge[12],19.02632407461302
State_of_Charge[13],24.577903855096437
State_of_Charge[14],32.547809200508695
State_of_Charge[15],42.69761577450593
State_of_Charge[16],53.71330857558414
State_of_Charge[17],64.13641897387693
State_of_Charge[18],71.1601304437435
State_of_Charge[19],71.16013044374353
State_of_Charge[20],70.42578879154354
State_of_Charge[21],62.857896336015486
State_of_Charge[22],49.47453088739487
State_of_Charge[23],38.42164081430038
State_of_Charge[24],34.004421473205895
State_of_Charge[25],36.12427710649538
State_of_Charge[26],37.97346399328486
State_of_Charge[27],39.53340579652434
Generator_Production[1],2.3613602785367487
Generator_Production[2],2.478326947743864
Generator_Production[3],2.5768869984230474
Generator_Production[4],2.470411609468553
Generator_Production[5],2.481587945735104
Generator_Production[6],2.400704087479942
Generator_Production[7],2.147386998010057
Generator_Production[8],1.8902782147367667
Generator_Production[9],1.3000114213191132
Generator_Production[10],0.6534293583936767
Generator_Production[11],0.11968336482557636
Generator_Production[12],-9.999842768231129e-9
Generator_Production[13],-9.999842768229038e-9
Generator_Production[14],-9.999842768228118e-9
Generator_Production[15],-9.999842768227619e-9
Generator_Production[16],-9.999842768227402e-9
Generator_Production[17],-9.999842768227379e-9
Generator_Production[18],-9.999842768227853e-9
Generator_Production[19],-9.999702144324087e-9
Generator_Production[20],5.67009858042665
Generator_Production[21],5.67009858042665
Generator_Production[22],5.67009858042665
Generator_Production[23],5.67009858042665
Generator_Production[24],5.67009858042665
Generator_Production[25],5.670098580409821
Generator_Production[26],5.670098580409821
Generator_Production[27],5.670098580409821
Grid_Import[1],-9.999953439545365e-9
Grid_Import[2],-9.999953122374584e-9
Grid_Import[3],-9.999952800854529e-9
Grid_Import[4],-9.999952474894855e-9
Grid_Import[5],-9.999952474894155e-9
Grid_Import[6],-9.999952474894428e-9
